common_name,scientific_name,start_s,end_s,confidence,label,file_index,filename,file_stem,recording_date,recording_start_time,absolute_timestamp,species,timestamp,confidence,status,geographic_valid,temporal_valid,habitat_valid,weather_score,rejection_reason,review_notes,overall_score,ebird_frequency,gbif_occurrences
Mallard,Anas platyrhynchos,6456.0,6459.0,0.7532699108123779,Anas platyrhynchos_Mallard,1,245AAA0563ED3DA7_20251013_113753.WAV,245AAA0563ED3DA7_20251013_113753,2025-10-13,11:37:53,2025-10-13 13:25:29,Mallard,2025-10-13 13:25:29,0.7532699108123779,ACCEPT,True,True,True,,,['eBird validation skipped (no API key); GBIF: Anas platyrhynchos has no recorded occurrences in 50.0km radius for month 10 (last 10 years)'],0.8006539821624756,,0
Graylag Goose,Anser anser,7101.0,7104.0,0.8637128472328186,Anser anser_Graylag Goose,1,245AAA0563ED3DA7_20251013_113753.WAV,245AAA0563ED3DA7_20251013_113753,2025-10-13,11:37:53,2025-10-13 13:36:14,Graylag Goose,2025-10-13 13:36:14,0.8637128472328186,ACCEPT,True,True,True,,,['eBird validation skipped (no API key); GBIF: Anser anser has no recorded occurrences in 50.0km radius for month 10 (last 10 years)'],0.8077425694465638,,0
Pink-footed Goose,Anser brachyrhynchus,7221.0,7224.0,0.8424325585365295,Anser brachyrhynchus_Pink-footed Goose,1,245AAA0563ED3DA7_20251013_113753.WAV,245AAA0563ED3DA7_20251013_113753,2025-10-13,11:37:53,2025-10-13 13:38:14,Pink-footed Goose,2025-10-13 13:38:14,0.8424325585365295,ACCEPT,True,True,True,,,['eBird validation skipped (no API key); GBIF: Anser brachyrhynchus has no recorded occurrences in 50.0km radius for month 10 (last 10 years)'],0.8034865117073059,,0
Hooded Crow,Corvus cornix,8568.0,8571.0,0.8015146255493164,Corvus cornix_Hooded Crow,1,245AAA0563ED3DA7_20251013_113753.WAV,245AAA0563ED3DA7_20251013_113753,2025-10-13,11:37:53,2025-10-13 14:00:41,Hooded Crow,2025-10-13 14:00:41,0.8015146255493164,ACCEPT,True,True,True,,,['eBird validation skipped (no API key); GBIF: Corvus cornix has no recorded occurrences in 50.0km radius for month 10 (last 10 years)'],0.7203029251098633,,0
Graylag Goose,Anser anser,10902.0,10905.0,0.7503581643104553,Anser anser_Graylag Goose,1,245AAA0563ED3DA7_20251013_113753.WAV,245AAA0563ED3DA7_20251013_113753,2025-10-13,11:37:53,2025-10-13 14:39:35,Graylag Goose,2025-10-13 14:39:35,0.7503581643104553,ACCEPT,True,True,True,,,['eBird validation skipped (no API key); GBIF: Anser anser has no recorded occurrences in 50.0km radius for month 10 (last 10 years)'],0.785071632862091,,0
Graylag Goose,Anser anser,11640.0,11643.0,0.7494484782218933,Anser anser_Graylag Goose,1,245AAA0563ED3DA7_20251013_113753.WAV,245AAA0563ED3DA7_20251013_113753,2025-10-13,11:37:53,2025-10-13 14:51:53,Graylag Goose,2025-10-13 14:51:53,0.7494484782218933,ACCEPT,True,True,True,,,['eBird validation skipped (no API key); GBIF: Anser anser has no recorded occurrences in 50.0km radius for month 10 (last 10 years)'],0.7848896956443787,,0
Graylag Goose,Anser anser,11850.0,11853.0,0.7560842037200928,Anser anser_Graylag Goose,1,245AAA0563ED3DA7_20251013_113753.WAV,245AAA0563ED3DA7_20251013_113753,2025-10-13,11:37:53,2025-10-13 14:55:23,Graylag Goose,2025-10-13 14:55:23,0.7560842037200928,ACCEPT,True,True,True,,,['eBird validation skipped (no API key); GBIF: Anser anser has no recorded occurrences in 50.0km radius for month 10 (last 10 years)'],0.7862168407440185,,0
Graylag Goose,Anser anser,13224.0,13227.0,0.71022629737854,Anser anser_Graylag Goose,1,245AAA0563ED3DA7_20251013_113753.WAV,245AAA0563ED3DA7_20251013_113753,2025-10-13,11:37:53,2025-10-13 15:18:17,Graylag Goose,2025-10-13 15:18:17,0.71022629737854,ACCEPT,True,True,True,,,['eBird validation skipped (no API key); GBIF: Anser anser has no recorded occurrences in 50.0km radius for month 10 (last 10 years)'],0.777045259475708,,0
Graylag Goose,Anser anser,13227.0,13230.0,0.8347852826118469,Anser anser_Graylag Goose,1,245AAA0563ED3DA7_20251013_113753.WAV,245AAA0563ED3DA7_20251013_113753,2025-10-13,11:37:53,2025-10-13 15:18:20,Graylag Goose,2025-10-13 15:18:20,0.8347852826118469,ACCEPT,True,True,True,,,['eBird validation skipped (no API key); GBIF: Anser anser has no recorded occurrences in 50.0km radius for month 10 (last 10 years)'],0.8019570565223694,,0
Graylag Goose,Anser anser,13230.0,13233.0,0.8794533610343933,Anser anser_Graylag Goose,1,245AAA0563ED3DA7_20251013_113753.WAV,245AAA0563ED3DA7_20251013_113753,2025-10-13,11:37:53,2025-10-13 15:18:23,Graylag Goose,2025-10-13 15:18:23,0.8794533610343933,ACCEPT,True,True,True,,,['eBird validation skipped (no API key); GBIF: Anser anser has no recorded occurrences in 50.0km radius for month 10 (last 10 years)'],0.8108906722068787,,0
